v8-version,8,4,371,19,-node.17,0
shared-library,/home/r2/.nvm/versions/node/v14.15.4/bin/node,0x400000,0x424f000,0
shared-library,/usr/lib/x86_64-linux-gnu/libc-2.31.so,0x7f89219c6000,0x7f8921b63000,0
shared-library,/usr/lib/x86_64-linux-gnu/libpthread-2.31.so,0x7f8921bb8000,0x7f8921bd0000,0
shared-library,/usr/lib/x86_64-linux-gnu/libgcc_s.so.1,0x7f8921bdb000,0x7f8921bf0000,0
shared-library,/usr/lib/x86_64-linux-gnu/libm-2.31.so,0x7f8921bf6000,0x7f8921cac000,0
shared-library,/usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.28,0x7f8921d45000,0x7f8921ecc000,0
shared-library,/usr/lib/x86_64-linux-gnu/libdl-2.31.so,0x7f8921f27000,0x7f8921f2a000,0
shared-library,/usr/lib/x86_64-linux-gnu/ld-2.31.so,0x7f8921f43000,0x7f8921f67000,0
shared-library,[vdso],0x7ffcca53c000,0x7ffcca53e000,0
tick,0x7f8921bcb3f4,522,0,0x0,6
profiler,begin,1000
tick,0x10cb185,1566,0,0x0,6
code-creation,Builtin,3,2001,0x1393b80,1632,RecordWrite
code-creation,Builtin,3,2013,0x1394200,424,EphemeronKeyBarrier
code-creation,Builtin,3,2017,0x13943c0,44,AdaptorWithBuiltinExitFrame
code-creation,Builtin,3,2020,0x1394400,291,ArgumentsAdaptorTrampoline
code-creation,Builtin,3,2024,0x1394540,207,CallFunction_ReceiverIsNullOrUndefined
code-creation,Builtin,3,2028,0x1394620,260,CallFunction_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,2032,0x1394740,289,CallFunction_ReceiverIsAny
code-creation,Builtin,3,2036,0x1394880,127,CallBoundFunction
code-creation,Builtin,3,2039,0x1394900,109,Call_ReceiverIsNullOrUndefined
code-creation,Builtin,3,2043,0x1394980,109,Call_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,2046,0x1394a00,109,Call_ReceiverIsAny
code-creation,Builtin,3,2050,0x1394a80,866,CallProxy
code-creation,Builtin,3,2053,0x1394e00,75,CallVarargs
code-creation,Builtin,3,2056,0x1394e60,1056,CallWithSpread
code-creation,Builtin,3,2059,0x13952a0,926,CallWithArrayLike
code-creation,Builtin,3,2063,0x1395640,100,CallForwardVarargs
code-creation,Builtin,3,2066,0x13956c0,100,CallFunctionForwardVarargs
code-creation,Builtin,3,2069,0x1395740,157,CallFunctionTemplate_CheckAccess
code-creation,Builtin,3,2073,0x13957e0,245,CallFunctionTemplate_CheckCompatibleReceiver
code-creation,Builtin,3,2077,0x13958e0,350,CallFunctionTemplate_CheckAccessAndCompatibleReceiver
code-creation,Builtin,3,2081,0x1395a40,26,ConstructFunction
code-creation,Builtin,3,2085,0x1395a60,127,ConstructBoundFunction
code-creation,Builtin,3,2088,0x1395ae0,28,ConstructedNonConstructable
code-creation,Builtin,3,2092,0x1395b00,90,Construct
code-creation,Builtin,3,2095,0x1395b60,75,ConstructVarargs
